
Date,Status,Num1,Num2,Num3
"May 10, 2019",Married,6,7,1.70
"May 8, 2019",Married,5,3,4.97
"May 11, 2019",Single,1,8,0.43
"May 7, 2019",Single,1,4,2.69
"May 11, 2019",Divorced,3,1,3.55
"May 5, 2019",Single,4,4,3.80
"May 10, 2019",Single,8,8,6.77
"May 5, 2019",Common-Law,5,3,2.71
"May 9, 2019",Divorced,2,1,8.00
"May 6, 2019",Common-Law,2,6,8.60
"May 9, 2019",Single,5,1,2.10
"May 8, 2019",Divorced,4,2,9.17
"May 11, 2019",Common-Law,10,1,4.75
"May 11, 2019",Married,6,7,1.11
"May 10, 2019",Common-Law,10,7,1.87
"May 6, 2019",Common-Law,6,2,7.06
"May 10, 2019",Single,7,3,9.81
"May 9, 2019",Married,6,1,1.19
"May 11, 2019",Single,7,6,2.71
"May 5, 2019",Single,4,7,5.31
"May 8, 2019",Married,1,4,6.28
"May 11, 2019",Married,4,2,6.30
"May 8, 2019",Divorced,2,1,7.85
"May 10, 2019",Single,2,6,2.61
"May 9, 2019",Married,6,3,2.20
"May 7, 2019",Common-Law,9,3,4.20
"May 8, 2019",Common-Law,1,9,3.33
"May 8, 2019",Divorced,9,10,0.00
"May 6, 2019",Single,7,7,7.30
"May 5, 2019",Single,10,8,3.47
"May 6, 2019",Single,7,4,7.71
"May 7, 2019",Married,6,1,2.37
"May 11, 2019",Divorced,5,5,5.55
"May 11, 2019",Divorced,8,7,6.31
"May 6, 2019",Single,3,3,5.10
"May 11, 2019",Single,9,6,6.67
"May 10, 2019",Common-Law,5,4,7.54
"May 11, 2019",Divorced,4,9,7.77
"May 11, 2019",Single,4,9,3.82
"May 7, 2019",Divorced,9,2,8.50
"May 7, 2019",Divorced,5,8,6.01
"May 7, 2019",Single,5,8,2.52
"May 6, 2019",Married,2,3,1.94
"May 7, 2019",Married,5,2,8.70
"May 9, 2019",Married,8,2,4.59
"May 6, 2019",Married,7,5,4.26
"May 6, 2019",Divorced,2,7,6.06
"May 11, 2019",Married,10,8,8.53
"May 7, 2019",Single,7,1,8.55
"May 10, 2019",Married,1,8,0.39
"May 10, 2019",Single,3,5,8.07
"May 5, 2019",Divorced,10,2,7.61
"May 8, 2019",Divorced,9,5,5.79
"May 5, 2019",Divorced,9,3,5.97
"May 10, 2019",Divorced,1,3,2.69
"May 7, 2019",Single,1,10,6.43
"May 5, 2019",Married,6,3,1.90
"May 9, 2019",Married,4,5,0.82
"May 11, 2019",Married,9,2,0.32
"May 6, 2019",Single,7,9,0.23
"May 5, 2019",Married,1,8,3.08
"May 10, 2019",Common-Law,7,2,4.05
"May 6, 2019",Single,5,5,2.43
"May 9, 2019",Married,6,7,3.52
"May 9, 2019",Married,9,6,9.66
"May 10, 2019",Common-Law,7,7,1.32
"May 11, 2019",Single,5,4,1.01
"May 5, 2019",Common-Law,5,10,5.18
"May 11, 2019",Married,4,6,7.15
"May 8, 2019",Divorced,3,1,2.73
"May 10, 2019",Divorced,7,1,7.04
"May 7, 2019",Married,5,6,6.92
"May 9, 2019",Single,3,10,0.80
"May 10, 2019",Single,3,3,1.46
"May 5, 2019",Divorced,9,9,1.90
"May 8, 2019",Divorced,7,5,0.26
"May 10, 2019",Divorced,6,9,4.97
"May 11, 2019",Common-Law,7,1,5.21
"May 8, 2019",Common-Law,2,2,2.28
"May 8, 2019",Divorced,6,3,9.25
"May 11, 2019",Common-Law,9,3,5.74
"May 10, 2019",Divorced,5,4,8.49
"May 5, 2019",Divorced,2,2,1.88
"May 5, 2019",Married,4,6,4.94
"May 9, 2019",Common-Law,1,4,2.30
"May 10, 2019",Single,9,7,8.25
"May 5, 2019",Common-Law,3,10,7.27
"May 8, 2019",Married,10,7,4.40
"May 5, 2019",Single,1,3,9.76
"May 6, 2019",Common-Law,10,4,7.26
"May 11, 2019",Married,4,6,7.44
"May 6, 2019",Single,2,10,6.37
"May 7, 2019",Married,4,10,0.41
"May 11, 2019",Married,9,6,2.42
"May 7, 2019",Single,4,5,7.29
"May 11, 2019",Divorced,4,10,9.16
"May 11, 2019",Common-Law,9,10,1.23
"May 8, 2019",Married,6,10,2.51
"May 10, 2019",Divorced,8,6,1.88
"May 9, 2019",Single,3,3,7.97
